sensor_full_name,sensor_url,sensor_price
Индуктивные датчики,Бесконтактный выключатель,"ISB AF4B-31P-5-LZ-4,5",https://teko-com.ru/index.php?route=product/product&path=1437&product_id=17324,1 350 р.
Индуктивные датчики,Бесконтактный выключатель,ISN ET8A-31N-15-LZ,https://teko-com.ru/product/isn-et8a-31n-15-lz.html,1 990 р.
Индуктивные датчики,Бесконтактный выключатель,ISB A4B-31P-5-LZ-C,https://teko-com.ru/product/isb-a4b-31p-5-lz-c.html,2 050 р.
Индуктивные датчики,Бесконтактный выключатель,ISB A4B-31P-5-LZ,https://teko-com.ru/product/isb-a4b-31p-5-lz.html,1 600 р.
Индуктивные датчики,Бесконтактный выключатель,"ISBt AC27B8-32P-4F-LTR9-C-P1-0,2",https://teko-com.ru/product/isbt-ac27b8-32p-4f-ltr9-c-p1-0-2.html,3 340 р.
Индуктивные датчики,Бесконтактный выключатель,ISN F4A-31P-8-LZ,https://teko-com.ru/product/isn-f4a-31p-8-lz.html,1 490 р.
Индуктивные датчики,Бесконтактный выключатель,"ISB AC12S-31P-1,5-LS4-H",https://teko-com.ru/product/isb-ac12s-31p-1-5-ls4-h.html,3 780 р.
Индуктивные датчики,Бесконтактный выключатель,"ISB B1B-31P-1,5F-LP-C",https://teko-com.ru/product/isb-b1b-31p-1-5f-lp-c.html,2 190 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AC8A-43P-10-LZS4,https://teko-com.ru/product/isb-ac8a-43p-10-lzs4.html,2 140 р.
Индуктивные датчики,Бесконтактный выключатель,ISN F4A-32P-8-LZ,https://teko-com.ru/product/isn-f4a-32p-8-lz.html,1 910 р.
Индуктивные датчики,Бесконтактный выключатель,ISB A4A8-31P-5F-LZT1-C-P,https://teko-com.ru/product/isb-a4a8-31p-5f-lzt1-c-p.html,1 740 р.
Индуктивные датчики,Бесконтактный выключатель,"ISB WC29S8-31P-1,5-ZS4-2",https://teko-com.ru/product/isb-wc29s8-31p-1-5-zs4-2.html,6 500 р.
Индуктивные датчики,Бесконтактный выключатель,ISN E73A-02G-15-L,https://teko-com.ru/product/isn-e73a-02g-15-l.html,2 470 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF42A-11G-5-LZ-C,https://teko-com.ru/product/isb-af42a-11g-5-lz-c.html,2 740 р.
Индуктивные датчики,Бесконтактный выключатель,ISN ET6A-43P-10-LZ,https://teko-com.ru/product/isn-et6a-43p-10-lz.html,2 150 р.
Индуктивные датчики,Бесконтактный выключатель,ISN ET8A-43N-15-LZ-C,https://teko-com.ru/product/isn-et8a-43n-15-lz-c.html,3 220 р.
Индуктивные датчики,Бесконтактный выключатель,"ISB WB22A8-31N-1,5-Z-1C-1",https://teko-com.ru/product/isb-wb22a8-31n-1-5-z-1c-1.html,5 830 р.
Индуктивные датчики,Бесконтактный выключатель,ISB A4A-31P-5-LZ,https://teko-com.ru/product/isb-a4a-31p-5-lz.html,1 580 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF41A-31P-5-LZ-C,https://teko-com.ru/product/isb-af41a-31p-5-lz-c.html,1 850 р.
Индуктивные датчики,Бесконтактный выключатель,ISN I7P5-R25-N-4,https://teko-com.ru/product/isn-i7p5-r25-n-4.html,3 240 р.
Индуктивные датчики,Бесконтактный выключатель,ISB B2B-32P-4-L-D,https://teko-com.ru/product/isb-b2b-32p-4-l-d.html,2 190 р.
Индуктивные датчики,Индуктивный преобразователь перемещения,ISAN E41A-31P-8-P,https://teko-com.ru/product/isan-e41a-31p-8-p.html,2 350 р.
Индуктивные датчики,Бесконтактный выключатель,ISN E4A-31P-8-LZ,https://teko-com.ru/product/isn-e4a-31p-8-lz.html,1 760 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AC7A-31P-10-LZS4,https://teko-com.ru/product/isb-ac7a-31p-10-lzs4.html,1 590 р.
Индуктивные датчики,Бесконтактный выключатель,"ISB A11B-31N-1,5-L-C",https://teko-com.ru/product/isb-a11b-31n-1-5-l-c.html,2 480 р.
Индуктивные датчики,Бесконтактный выключатель,ISB I1P-31N-5-LZ,https://teko-com.ru/product/isb-i1p-31n-5-lz.html,1 400 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF4A-31P-5-LZ-C-1,https://teko-com.ru/product/isb-af4a-31p-5-lz-c-1.html,1 740 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF4A-31P-5-LZ,https://teko-com.ru/index.php?route=product/product&path=1437&product_id=17313,1 420 р.
Индуктивные датчики,Бесконтактный выключатель,ISB BC7A-31P-15-LS4,https://teko-com.ru/product/isb-bc7a-31p-15-ls4.html,2 630 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF9A-31P-12-LZ,https://teko-com.ru/product/isb-af9a-31p-12-lz.html,1 700 р.
Индуктивные датчики,Бесконтактный выключатель,ISB A2B-31P-2-LZ,https://teko-com.ru/product/isb-a2b-31p-2-lz.html,1 360 р.
Индуктивные датчики,Бесконтактный выключатель,ISB B7A-32P-10-L-C,https://teko-com.ru/product/isb-b7a-32p-10-l-c.html,1 950 р.
Индуктивные датчики,Бесконтактный выключатель,ISB AF4A-31N-5-LZ-C,https://teko-com.ru/product/isb-af4a-31n-5-lz-c.html,2 080 р.
